Timestamp,Location (city name or district name),Gender,Age (in years),What is the highest level of education you have completed?,What would best describe a wellness/fitness routine you follow or are likely to follow?,Which of the followings would best describe the main challenge you face that restricts you from following a regular wellness/fitness routine? (you can choose more than one option),How often do you follow a wellness/fitness routine?,"Whenever you practice your wellness/fitness routine, how much time on average do you spend (in minutes)?",Which of the following would best describe your purpose to follow a wellness/fitness routine?,Your general place of wellness/fitness routine is,Do you look for simple and target specific-exercises ?,"In your opinion, how important is following a well-balanced nutrition diet routine along with a wellness/fitness routine?",Which of the followings would best describe the main challenge(s) you face that restrict you from following a well-balanced nutrition diet routine? (you can choose more than one option),How likely would you be to try a remote/online mode of training for your wellness/fitness routine?,What would best describe the challenge(s) to use an online wellness/fitness service as a mainstream method to achieve your wellness/fitness goals? (you can choose more than one option),How much would you be willing to pay for such an online wellness/fitness training service (INR/month)?,"If you were to subscribe such an online  wellness/fitness training service, what would describe the ideal subscription cycle for you?",Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Price of service],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Expertise credibility of the trainer(s)],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Language of training/practice instructions in your regional language as compared to English?],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Flexibility of choosing different time slots for training/practice on different days],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Availability of hybrid options for training/practice (ability to choose online and offline training session as per my convenience)]
11-9-2022 21:10:01,Mumbai,Male,18-24,Undergraduate degree,Yoga & breathing exercises,I follow a regular wellness/fitness routine,4 to 5 days a week,31-45,Body building,Hybrid - Gym and at Home,4,3,I follow a balanced diet routine,I have already tried,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 500 - 1000,Annual subscription with price discount benefits,Not so important,Not important at all,Not important at all,Not so important,Not important at all
11-9-2022 21:18:20,Kalyan ,Male,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)",Can't afford to spend on gym/classes subscription,4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - without equipment,3,4,My schedule doesn't permit regularity in my eating habits,I may try only if I find something very interesting,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 500 - 1000,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Very Important,Important,Important,Very Important,Important
11-9-2022 21:54:11,Mumbai,Female,18-24,High school,Meditation/Mindfulness practice,I follow a regular wellness/fitness routine,4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - with equipment,2,3,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,I don't want to invest in buying any accessories at home,Rs. 500 - 1000,Weekly subscription at a price slightly higher than monthly subscription,Not so important,Not important at all,Not so important,Not important at all,Not so important
11-9-2022 22:00:06,Bhopal,Male,25-34,Undergraduate degree,Meditation/Mindfulness practice,"Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",Daily,31-45,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,5,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Very Important,Important,Important,Important
11-9-2022 22:01:03,Mumbai,Male,18-24,High school,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),Less than 15,Weight loss/gain,Home - without equipment,3,5,Find it too difficult to follow a routine,I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Important,Important,Important,Important
11-9-2022 22:09:27,Mumbai ,Male,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Want a personal trainer but can't afford, Lack of motivation / time",4 to 5 days a week,More than 60,Weight loss/gain,Home - with equipment,5,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits",I am interested to try out,I don’t think online training is effective,Not more than Rs. 500,Annual subscription with price discount benefits,Important,Important,Important,Very Important,Very Important
11-9-2022 22:09:41,Navi Mumbai ,Female,18-24,Undergraduate degree,Yoga & breathing exercises,"Can't find a good trainer/expert practitioner, Lack of motivation / time",Once/twice a week (e.g. weekends),Less than 15,General fitness/strength/flexibility/stamina,Home - without equipment,3,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Find it too difficult to follow a routine",I may try only if I find something very interesting,Instant feedback is very important to me which I think online delivery wellness/fitness services lack,Rs. 2500-5000,Annual subscription with price discount benefits,Important,Important,Important,Important,Important
11-9-2022 22:10:33,Mumbai,Male,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",Don't know where and how to start,4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Gym / Studio,5,5,I follow a balanced diet routine,I have already tried,I don’t think online training is effective,Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Very Important,Very Important,Very Important
11-9-2022 22:15:28,"Kandivali East, Mumbai",Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby",Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,4,3,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,I don’t think online training is effective,Rs. 500 - 1000,Annual subscription with price discount benefits,Important,Neutral,Important,Important,Neutral
11-9-2022 22:21:15,Pune,Male,18-24,Masters / Post-Graduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Want a personal trainer but can't afford, Can't afford to spend on gym/classes subscription, Lack of motivation / time",4 to 5 days a week,31-45,Body building,Home - without equipment,3,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food",I am interested to try out,I don’t think online training is effective,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Very Important,Not so important,Important,Neutral
11-9-2022 22:39:06,Bhopal ,Female,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,Stress/anxiety reduction and/or attain mindfulness,Gym / Studio,4,4,"Can't cook at home, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, I don't want to invest in buying any accessories at home",Not more than Rs. 500,,Neutral,Neutral,Neutral,Neutral,Neutral
11-9-2022 22:47:02,Mumbai ,Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner",Daily,15-30,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,3,3,"Lack of understanding what to eat when and in what proportion, Temptation for junk food",I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Rs. 500 - 1000,Annual subscription with price discount benefits,Not so important,Not so important,Neutral,Neutral,Neutral
11-9-2022 22:57:27,Vasai,Female,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,Lack of motivation / time,Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Rs. 500 - 1000,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Neutral,Neutral,Neutral,Neutral
11-9-2022 23:10:59,Mumbai ,Female,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,More than 60,Weight loss/gain,Gym / Studio,2,5,My schedule doesn't permit regularity in my eating habits,I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode",Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Very Important,Important,Very Important,Neutral
11-10-2022 9:27:28,Nashik,Female,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,2,4,My schedule doesn't permit regularity in my eating habits,I am interested to try out,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Very Important,Not so important,Important,Neutral
